"nut","k","p","epsilon","U:0","U:1","U:2","vtkOriginalCellIds","Cell Type"
0.00042349,0.035664,165.13,0.2703,-0.10551,-0.13285,0,99,12
0.00045931,0.041906,165.15,0.34411,-0.051178,-0.28467,0,199,12
0.00050441,0.050532,165.27,0.45561,0.023132,-0.31741,0,299,12
0.00055304,0.060685,165.5,0.59932,0.091991,-0.21626,0,399,12
0.00059592,0.070371,165.8,0.74791,0.14836,0.0057904,0,499,12
0.00062502,0.077312,166.09,0.86068,0.1889,0.3236,0,599,12
0.00064304,0.081769,166.24,0.93579,0.21332,0.69669,0,699,12
0.00065262,0.084178,166.21,0.97718,0.22198,1.0998,0,799,12
0.00065606,0.085041,165.97,0.9921,0.21805,1.5098,0,899,12
0.00065557,0.084902,165.54,0.98961,0.20554,1.9056,0,999,12
0.00065299,0.08424,164.96,0.97808,0.18817,2.2735,0,1099,12
0.00064975,0.083421,164.26,0.96395,0.16897,2.6069,0,1199,12
0.00064682,0.082696,163.5,0.95155,0.15019,2.9048,0,1299,12
0.00064482,0.082216,162.69,0.94345,0.13332,3.1697,0,1399,12
0.00064408,0.082062,161.86,0.94099,0.1192,3.4065,0,1499,12
0.00064474,0.082264,161.01,0.94466,0.10819,3.621,0,1599,12
0.00064679,0.082821,160.14,0.95448,0.10033,3.8192,0,1699,12
0.00065015,0.083717,159.25,0.9702,0.095421,4.0067,0,1799,12
0.00065471,0.084926,158.34,0.99147,0.093146,4.1889,0,1899,12
0.00066034,0.086421,157.39,1.0179,0.093116,4.37,0,1999,12
0.00066692,0.088178,156.4,1.0493,0.094917,4.5539,0,2099,12
0.00067435,0.090176,155.35,1.0853,0.098145,4.7432,0,2199,12
0.00068254,0.0924,154.25,1.1258,0.10243,4.9403,0,2299,12
0.00069142,0.094837,153.08,1.1707,0.10747,5.1468,0,2399,12
0.00070092,0.097478,151.83,1.2201,0.113,5.3637,0,2499,12
0.00071101,0.10032,150.49,1.2738,0.11883,5.5917,0,2599,12
0.00072162,0.10335,149.06,1.332,0.12485,5.8313,0,2699,12
0.00073273,0.10656,147.52,1.3948,0.13098,6.0828,0,2799,12
0.0007443,0.10996,145.87,1.4621,0.1372,6.3464,0,2899,12
0.0007563,0.11354,144.08,1.5341,0.14353,6.6222,0,2999,12
0.0007687,0.1173,142.14,1.6109,0.15004,6.9107,0,3099,12
0.00078149,0.12124,140.05,1.6927,0.15681,7.2121,0,3199,12
0.00079464,0.12535,137.78,1.7797,0.16395,7.5273,0,3299,12
0.00080815,0.12965,135.3,1.8721,0.17162,7.857,0,3399,12
0.00082201,0.13414,132.6,1.97,0.17997,8.2024,0,3499,12
0.00083621,0.13881,129.65,2.0739,0.18921,8.5651,0,3599,12
0.00085077,0.14369,126.4,2.1841,0.19959,8.947,0,3699,12
0.0008657,0.14877,122.81,2.3009,0.21141,9.3507,0,3799,12
0.000881,0.15407,118.83,2.4249,0.22509,9.7792,0,3899,12
0.0008967,0.15961,114.39,2.5568,0.24112,10.237,0,3999,12
0.00091286,0.16541,109.38,2.6974,0.26023,10.728,0,4099,12
0.00092954,0.1715,103.68,2.8478,0.28341,11.261,0,4199,12
0.00094685,0.17794,97.14,3.0096,0.31216,11.844,0,4299,12
0.00096495,0.1848,89.503,3.1852,0.34868,12.489,0,4399,12
0.00098414,0.19221,80.424,3.3787,0.39717,13.216,0,4499,12
0.0010049,0.20042,69.35,3.5972,0.46262,14.053,0,4599,12
0.0010284,0.20986,55.349,3.8543,0.56709,15.048,0,4699,12
0.0010567,0.22156,36.646,4.1809,0.7045,16.284,0,4799,12
0.0010951,0.23793,9.8664,4.6526,1.1168,17.916,0,4899,12
0.0011589,0.26646,-32.13,5.5142,1.2776,20.124,0,4999,12
